permno,adate,qdate,public_date,npm,de_ratio,curr_ratio,ptb,TICKER
11850,2008-12-31,2009-09-30,2010-01-31,0.078,1.043,1.250,2.336,XOM
11850,2009-12-31,2009-12-31,2010-02-28,0.070,1.067,1.061,2.295,XOM
11850,2009-12-31,2009-12-31,2010-03-31,0.070,1.067,1.061,2.365,XOM
11850,2009-12-31,2009-12-31,2010-04-30,0.070,1.067,1.061,2.381,XOM
11850,2009-12-31,2010-03-31,2010-05-31,0.070,1.084,1.091,2.078,XOM
11850,2009-12-31,2010-03-31,2010-06-30,0.070,1.084,1.091,2.136,XOM
11850,2009-12-31,2010-03-31,2010-07-31,0.070,1.084,1.091,2.231,XOM
11850,2009-12-31,2010-06-30,2010-08-31,0.078,1.075,1.072,1.725,XOM
11850,2009-12-31,2010-06-30,2010-09-30,0.078,1.075,1.072,1.803,XOM
11850,2009-12-31,2010-06-30,2010-10-31,0.078,1.075,1.072,1.922,XOM
11850,2009-12-31,2010-09-30,2010-11-30,0.083,1.059,1.054,1.945,XOM
11850,2009-12-31,2010-09-30,2010-12-31,0.083,1.059,1.054,2.045,XOM
11850,2009-12-31,2010-09-30,2011-01-31,0.083,1.059,1.054,2.256,XOM
11850,2010-12-31,2010-12-31,2011-02-28,0.089,1.020,0.942,2.330,XOM
11850,2010-12-31,2010-12-31,2011-03-31,0.089,1.020,0.942,2.292,XOM
11850,2010-12-31,2010-12-31,2011-04-30,0.089,1.020,0.942,2.381,XOM
11850,2010-12-31,2011-03-31,2011-05-31,0.096,1.040,1.000,2.192,XOM
11850,2010-12-31,2011-03-31,2011-06-30,0.096,1.040,1.000,2.137,XOM
11850,2010-12-31,2011-03-31,2011-07-31,0.096,1.040,1.000,2.068,XOM
11850,2010-12-31,2011-06-30,2011-08-31,0.097,1.045,0.976,1.867,XOM
11850,2010-12-31,2011-06-30,2011-09-30,0.097,1.045,0.976,1.832,XOM
11850,2010-12-31,2011-06-30,2011-10-31,0.097,1.045,0.976,1.970,XOM
11850,2010-12-31,2011-09-30,2011-11-30,0.098,1.045,0.954,2.000,XOM
11850,2010-12-31,2011-09-30,2011-12-31,0.098,1.045,0.954,2.107,XOM
11850,2010-12-31,2011-09-30,2012-01-31,0.098,1.045,0.954,2.082,XOM
11850,2011-12-31,2011-12-31,2012-02-29,0.095,1.103,0.941,2.134,XOM
11850,2011-12-31,2011-12-31,2012-03-31,0.095,1.103,0.941,2.140,XOM
11850,2011-12-31,2011-12-31,2012-04-30,0.095,1.103,0.941,2.126,XOM
11850,2011-12-31,2012-03-31,2012-05-31,0.090,1.086,0.947,1.902,XOM
11850,2011-12-31,2012-03-31,2012-06-30,0.090,1.086,0.947,2.070,XOM
11850,2011-12-31,2012-03-31,2012-07-31,0.090,1.086,0.947,2.101,XOM
11850,2011-12-31,2012-06-30,2012-08-31,0.104,1.070,0.963,2.018,XOM
11850,2011-12-31,2012-06-30,2012-09-30,0.104,1.070,0.963,2.114,XOM
11850,2011-12-31,2012-06-30,2012-10-31,0.104,1.070,0.963,2.108,XOM
11850,2011-12-31,2012-09-30,2012-11-30,0.104,1.054,0.988,1.966,XOM
11850,2011-12-31,2012-09-30,2012-12-31,0.104,1.054,0.988,1.931,XOM
11850,2011-12-31,2012-09-30,2013-01-31,0.104,1.054,0.988,2.007,XOM
11850,2012-12-31,2012-12-31,2013-02-28,0.107,0.978,1.005,1.972,XOM
11850,2012-12-31,2012-12-31,2013-03-31,0.107,0.978,1.005,1.985,XOM
11850,2012-12-31,2012-12-31,2013-04-30,0.107,0.978,1.005,1.945,XOM
11850,2012-12-31,2013-03-31,2013-05-31,0.111,0.986,0.991,1.955,XOM
11850,2012-12-31,2013-03-31,2013-06-30,0.111,0.986,0.991,1.953,XOM
11850,2012-12-31,2013-03-31,2013-07-31,0.111,0.986,0.991,2.026,XOM
11850,2012-12-31,2013-06-30,2013-08-31,0.091,0.994,0.946,1.875,XOM
11850,2012-12-31,2013-06-30,2013-09-30,0.091,0.994,0.946,1.851,XOM
11850,2012-12-31,2013-06-30,2013-10-31,0.091,0.994,0.946,1.928,XOM
11850,2012-12-31,2013-09-30,2013-11-30,0.087,1.005,0.898,1.956,XOM
11850,2012-12-31,2013-09-30,2013-12-31,0.087,1.005,0.898,2.118,XOM
11850,2012-12-31,2013-09-30,2014-01-31,0.087,1.005,0.898,1.914,XOM
